,Date,10YR_Treasury_Yield,Real_GDP US,Price
0,1985-01-01,11.58,8400.82,164.18
1,1985-04-01,10.81,8474.787,181.18
2,1985-07-01,10.34,8604.22,189.72
3,1985-10-01,9.76,8668.188,188.08
4,1986-01-01,8.56,8749.127,198.99
5,1986-04-01,7.6,8788.524,222.22
6,1986-07-01,7.31,8872.601,236.11
7,1986-10-01,7.26,8920.193,249.77
8,1987-01-01,7.19,8986.367,242.05
9,1987-04-01,8.34,9083.256,285.48
10,1987-07-01,8.88,9162.024,278.21
11,1987-10-01,9.12,9319.332,334.84
12,1988-01-01,8.42,9367.502,242.0
13,1988-04-01,8.91,9490.594,261.61
14,1988-07-01,9.1,9546.206,253.02
15,1988-10-01,8.96,9673.405,260.24
16,1989-01-01,9.21,9771.725,266.47
17,1989-04-01,8.77,9846.293,296.76
18,1989-07-01,8.11,9919.228,321.24
19,1989-10-01,7.91,9938.767,346.03
20,1990-01-01,8.42,10047.386,339.35
21,1990-04-01,8.68,10083.855,327.99
22,1990-07-01,8.7,10090.569,354.64
23,1990-10-01,8.4,9998.704,328.51
24,1991-01-01,8.02,9951.916,315.31
25,1991-04-01,8.13,10029.51,365.14
26,1991-07-01,7.94,10080.195,372.28
27,1991-10-01,7.35,10115.329,379.43
28,1992-01-01,7.3,10236.435,378.53
29,1992-04-01,7.38,10347.429,413.9
30,1992-07-01,6.62,10449.673,415.39
31,1992-10-01,6.74,10558.648,418.26
32,1993-01-01,6.28,10576.275,426.65
33,1993-04-01,5.99,10637.847,434.22
34,1993-07-01,5.62,10688.606,450.59
35,1993-10-01,5.61,10833.987,456.16
36,1994-01-01,6.07,10939.116,462.6
37,1994-04-01,7.08,11087.361,467.69
38,1994-07-01,7.33,11152.176,454.92
39,1994-10-01,7.84,11279.932,463.68
40,1995-01-01,7.48,11319.951,461.47
41,1995-04-01,6.62,11353.721,481.97
42,1995-07-01,6.32,11450.31,519.19
43,1995-10-01,5.89,11528.067,559.21
44,1996-01-01,5.91,11614.418,596.85
45,1996-04-01,6.72,11808.14,640.65
46,1996-07-01,6.78,11914.063,673.15
47,1996-10-01,6.34,12037.775,665.69
48,1997-01-01,6.56,12115.472,743.95
49,1997-04-01,6.7,12317.221,802.8
50,1997-07-01,6.24,12471.01,841.66
51,1997-10-01,5.91,12577.495,939.35
52,1998-01-01,5.59,12703.742,958.98
53,1998-04-01,5.6,12821.339,1034.21
54,1998-07-01,5.2,12982.752,1119.06
55,1998-10-01,4.67,13191.67,1091.6
56,1999-01-01,4.98,13315.597,1163.55
57,1999-04-01,5.54,13426.748,1239.22
58,1999-07-01,5.88,13604.771,1338.83
59,1999-10-01,6.14,13827.98,1336.61
60,2000-01-01,6.48,13878.147,1422.0
61,2000-04-01,6.18,14130.908,1346.09
62,2000-07-01,5.89,14145.312,1406.95
63,2000-10-01,5.57,14229.765,1491.72
64,2001-01-01,5.05,14183.12,1342.62
65,2001-04-01,5.27,14271.694,1278.94
66,2001-07-01,4.98,14214.516,1291.96
67,2001-10-01,4.77,14253.574,1171.41
68,2002-01-01,5.08,14372.785,1142.66
69,2002-04-01,5.1,14460.848,1097.9829
70,2002-07-01,4.26,14519.633,1091.8765
71,2002-10-01,4.01,14537.58,937.42584
72,2003-01-01,3.92,14614.141,914.146
73,2003-04-01,3.62,14743.567,837.10065
74,2003-07-01,4.23,14988.782,919.72577
75,2003-10-01,4.29,15162.76,1000.3037
76,2004-01-01,4.02,15248.68,1033.6505
77,2004-04-01,4.6,15366.85,1144.1084
78,2004-07-01,4.3,15512.619,1089.186
79,2004-10-01,4.17,15670.88,1098.3523
80,2005-01-01,4.3,15844.727,1170.339
81,2005-04-01,4.16,15922.782,1201.5857
82,2005-07-01,4.21,16047.587,1189.278
83,2005-10-01,4.49,16136.734,1219.7122
84,2006-01-01,4.57,16353.835,1248.2728
85,2006-04-01,5.07,16396.151,1287.2426
86,2006-07-01,4.9,16420.738,1267.0304
87,2006-10-01,4.63,16561.866,1302.304
88,2007-01-01,4.68,16611.69,1400.4999
89,2007-04-01,4.85,16713.314,1459.6842
90,2007-07-01,4.73,16809.587,1522.748
91,2007-10-01,4.26,16915.191,1445.5515
92,2008-01-01,3.66,16843.003,1439.7035
93,2008-04-01,3.89,16943.291,1360.0258
94,2008-07-01,3.86,16854.295,1413.3981
95,2008-10-01,3.25,16485.35,1274.5431
96,2009-01-01,2.74,16298.262,752.435765
97,2009-04-01,3.31,16269.145,770.047285
98,2009-07-01,3.52,16326.281,903.472369
99,2009-10-01,3.46,16502.754,1007.37043157551
100,2010-01-01,3.72,16582.71,1091.37693663962
101,2010-04-01,3.49,16743.162,1109.17298344684
102,2010-07-01,2.79,16872.266,1071.59367426576
103,2010-10-01,2.86,16960.864,1071.69221727441
104,2011-01-01,3.46,16920.632,1199.73008142798
105,2011-04-01,3.21,17035.114,1343.0135224894
106,2011-07-01,2.43,17031.313,1333.26918783475
107,2011-10-01,2.05,17222.583,1123.52644023045
108,2012-01-01,2.04,17367.01,1215.65320343698
109,2012-04-01,1.82,17444.525,1361.22738430323
110,2012-07-01,1.64,17469.65,1295.21999753112
111,2012-10-01,1.71,17489.852,1418.13359016391
112,2013-01-01,1.95,17662.4,1387.81205596892
113,2013-04-01,2.0,17709.671,1511.95437693052
114,2013-07-01,2.71,17860.45,1666.28994307067
115,2013-10-01,2.75,18016.147,1652.34798279109
116,2014-01-01,2.76,17953.974,1781.37386875363
117,2014-04-01,2.62,18185.911,1839.78221493587
118,2014-07-01,2.5,18406.941,1872.83422635902
119,2014-10-01,2.28,18500.031,1986.50596121213
120,2015-01-01,1.97,18666.621,2052.752247922
121,2015-04-01,2.17,18782.243,2110.30089916426
122,2015-07-01,2.22,18857.418,2125.84876403571
123,2015-10-01,2.19,18892.206,2035.7341442458
124,2016-01-01,1.92,19001.69,2089.16622319115
125,2016-04-01,1.75,19062.709,1917.78361174503
126,2016-07-01,1.56,19197.938,2052.31805289781
127,2016-10-01,2.13,19304.352,2183.86815478893
128,2017-01-01,2.44,19398.343,2181.90178696416
129,2017-04-01,2.26,19506.949,2351.16169922298
130,2017-07-01,2.24,19660.766,2381.72670416748
131,2017-10-01,2.37,19882.352,2425.55216966462
132,2018-01-01,2.76,20044.077,2582.14158870369
133,2018-04-01,2.92,20150.476,2716.25554249868
134,2018-07-01,2.93,20276.154,2712.97471356064
135,2018-10-01,3.03,20304.874,2857.05400723422
136,2019-01-01,2.65,20415.15,2641.89029796573
137,2019-04-01,2.33,20584.528,2784.69617630377
138,2019-07-01,1.8,20817.581,2840.2331323811
139,2019-10-01,1.79,20951.088,2900.5102677585
140,2020-01-01,1.38,20665.553,3108.45815017896
141,2020-04-01,0.69,19034.83,3373.23150607118
142,2020-07-01,0.65,20511.785,2971.61217783428
143,2020-10-01,0.86,20724.128,3385.51352035029
144,2021-01-01,1.32,20990.541,3557.54384144968
145,2021-04-01,1.59,21309.544,3906.70784801887
146,2021-07-01,1.32,21483.083,4159.12441807733
147,2021-10-01,1.54,21847.602,4441.66518209213
148,2022-01-01,1.94,21738.871,4697.95510644297
149,2022-04-01,2.93,21708.16,4348.86919658368
150,2022-07-01,3.11,21851.134,3901.36057603227
151,2022-10-01,3.83,21989.981,4228.47848819532
152,2023-01-01,3.65,22112.329,3965.33930068925
153,2023-04-01,3.59,22225.35,4079.09466225495
154,2023-07-01,4.15,22491.567,4191.97978780284
155,2023-10-01,,,4369.7115006548
